RBD,ACE2_Rep1_REL_avg,ACE2_Rep2_REL_avg,ACE2_Rep3_REL_avg,empty_Rep1_REL_avg,empty_Rep2_REL_avg,empty_Rep3_REL_avg
BM48-31_NC014470,1.136988685,1.043037827,1.178164643,1.149548401,1.05529507,1.052675529
Rs4231_KY417146,22.68165447,21.80215206,23.76659239,0.989550001,0.883959604,0.908915735
Rs4084_KY417144,23.86323004,20.12975346,23.24213635,0.510958402,0.667507933,0.64439517
LYRa11_KF569996,7.748719629,8.689425227,6.794482573,1.226541098,1.099029081,1.118718528
Rs7327_KY417151,14.7546176,15.57356588,15.76713334,0.905801941,0.918968549,1.236433123
Shaanxi2011_JX993987,0.913708102,1.133604003,0.991554742,1.320655498,1.065861168,1.489420407
Yunnan2011_JX993988,1.021168176,0.891756419,1.111436735,1.036140273,1.01140526,0.947506791
YN2013_KJ473816,0.844428516,0.948777084,0.829327162,1.035795912,1.008895325,1.075651039
Rf4092_KY417145,1.370173246,0.900734179,1.188258016,1.25520089,1.067269055,1.612720796
ZXC21_MG772934,1.278396856,0.914293564,1.123750676,1.360291587,1.444754771,1.015125581
ZC45_MG772933,1.170644175,1.253738314,0.969542116,1.03571107,0.806809357,0.971708549
JL2012_KJ473811,1.010939298,0.9652642,1.011921227,1.006376948,1.094585633,1.054416321
273-2005_DQ648856,0.964622853,0.949154171,1.008490303,0.891213978,0.774538907,1.144138797
Rf1_DQ412042,0.681125871,0.569347818,0.571044506,0.742912308,0.933345053,0.912004832
HeB2013_KJ473812,0.808701411,0.633363053,0.559277696,0.867602938,0.891973884,0.897067028
As6526_KY417142,1.183459024,1.308202394,1.036912857,1.22668631,1.607381127,1.237544467
Rs4081_KY417143,1.161836327,1.153166584,1.027622034,1.562784555,1.598513743,1.613632702
Rs4237_KY417147,0.916049494,0.736697939,0.809949832,0.848819322,0.913042393,0.646745158
Rp3_DQ071615,0.907983087,0.706508295,0.880724221,0.755084091,0.750745464,0.873952084
279-2005_DQ648857,0.654966421,0.683910786,0.438818138,1.078383513,0.996662163,0.797903897
Rs4247_KY417148,0.732210535,0.96411711,0.627090275,0.859903078,0.837155137,1.078932408
HuB2013_KJ473814,0.988079699,0.971274918,1.076447228,1.273475025,1.288730146,1.381979532
HKU3-8_GQ153543,0.806320481,1.325515675,0.749668042,1.154421637,0.994862335,1.019641847
GX2013_KJ473815,0.788904541,0.90446694,1.129595651,1.066431394,1.138206696,0.973117332
Longquan-140_KF294457,0.832790266,1.047238289,0.847729915,0.939558604,0.80309105,0.933727472
HKU3-13_GQ153548,0.509289425,0.60845099,0.595816368,0.667580848,0.580469207,0.512903748
Lineage B concensus,0.594830869,0.689433662,0.834143274,0.592827412,1.112527869,0.903693937
SARS_Urbani_AY278741,35.71541412,28.25831827,29.38824499,0.925663642,1.182497863,1.103477149
WIV1_KF367457,22.29619623,20.58976118,21.41961386,0.766057196,0.680923205,1.135765404
RsSHC014_KC881005,29.71720499,27.91253592,29.83348204,1.145614452,1.485410871,0.954521886
