RBD,Figure,rep1,rep2,rep3,avg,SEM,rel_SARS1,n_measure
SARS-CoV-2,combined_BHK_Vero,NA,NA,NA,1.236487419,NA,NA,1
SARS-CoV-1,combined_BHK_Vero,NA,NA,NA,1,NA,NA,4
WIV16,combined_BHK_Vero,NA,NA,NA,1.008947041,0.143346473,NA,4
LYRa11,combined_BHK_Vero,NA,NA,NA,0.474905769,0.345322626,NA,3
ZC45,combined_BHK_Vero,NA,NA,NA,0.018320514,0.009412711,NA,3
ZXC21,combined_BHK_Vero,NA,NA,NA,0.017524683,0.009339368,NA,3
HKU3-1,combined_BHK_Vero,NA,NA,NA,0.088279757,0.066787623,NA,3
Rf1,combined_BHK_Vero,NA,NA,NA,0.023512071,0.006385656,NA,3
Rp3,combined_BHK_Vero,NA,NA,NA,0.057822516,0.035088725,NA,3
BM48-31,combined_BHK_Vero,NA,NA,NA,0.024653934,0.01163634,NA,3
SARS-CoV-2,combined_BHK,NA,NA,NA,1.236487419,NA,NA,1
SARS-CoV-1,combined_BHK,NA,NA,NA,1,NA,NA,3
WIV16,combined_BHK,NA,NA,NA,0.92731059,0.11937888,,3
LYRa11,combined_BHK,NA,NA,NA,0.135806241,0.113038396,,2
ZC45,combined_BHK,NA,NA,NA,0.025170356,0.011181965,,2
ZXC21,combined_BHK,NA,NA,NA,0.024188201,0.011334194,,2
HKU3-1,combined_BHK,NA,NA,NA,0.021517108,0.003163204,,2
Rf1,combined_BHK,NA,NA,NA,0.017259979,0.0022503,,2
Rp3,combined_BHK,NA,NA,NA,0.022806833,0.003919418,,2
BM48-31,combined_BHK,NA,NA,NA,0.018676877,0.017292704,,2
BM48-31_NC014470,1e,1.136988685,1.043037827,1.178164643,1.119397052,0.039987137,0.03596958,NA
LYRa11_KF569996,1e,7.748719629,8.689425227,6.794482573,7.744209143,0.547027475,0.248844638,NA
ZXC21_MG772934,1e,1.278396856,0.914293564,1.123750676,1.105480365,0.105503799,0.035522396,NA
ZC45_MG772933,1e,1.170644175,1.253738314,0.969542116,1.131308202,0.084364998,0.036352321,NA
Rf1_DQ412042,1e,0.681125871,0.569347818,0.571044506,0.607172732,0.036979813,0.019510279,NA
Rp3_DQ071615,1e,0.907983087,0.706508295,0.880724221,0.831738534,0.063107636,0.026726251,NA
HKU3-13_GQ153548,1e,0.509289425,0.60845099,0.595816368,0.571185594,0.031162265,0.018353904,NA
SARS_Urbani_AY278741,1e,35.71541412,28.25831827,29.38824499,31.12065913,2.320417612,1,NA
WIV1_KF367457,1e,22.29619623,20.58976118,21.41961386,21.43519042,0.492666932,0.688776878,NA
BM48-31,2a,25.68482906,17.23290598,39.42948718,27.44907407,6.468036141,0.036608048,NA
LYRa11,2a,819.8707265,867.0897436,906.8675214,864.6093305,25.14441566,1.153104823,NA
ZXC21,2a,1.245726496,5.553418803,2.643162393,3.147435897,1.268827816,0.004197646,NA
ZC45,2a,0.701923077,6.721153846,2.971153846,3.46474359,1.75504111,0.00462083,NA
Rf1,2a,25.64636752,29.80128205,25.56837607,27.00534188,1.398151368,0.036016255,NA
Rp3,2a,90.05128205,90.47115385,107.0758547,95.86609687,5.606189321,0.127853881,NA
HKU3-13,2a,166.8600427,176.6474359,155.4273504,166.3116097,6.131845588,0.221805054,NA
SARS-S WT,2a,760.8760684,696.9305556,791.6228632,749.8098291,27.88969059,1,NA
WIV1,2a,887.8717949,1040.49359,892.0961538,940.1538462,50.18469026,1.253856391,NA
BM48-31,3b,0.149792913,0.106603774,0.068867925,0.108421537,0.023378706,0.001384173,NA
LYRa11,3b,3.305516567,0.710768523,1.333893235,1.783392775,0.782030846,0.022767845,NA
ZXC21,3b,1.590870916,0.162902669,1.266768293,1.006847293,0.432220053,0.012854007,NA
ZC45,3b,0.61795329,0.713529682,1.955625863,1.095702945,0.430845788,0.013988391,NA
Rf1,3b,0.37516682,0.124252186,3.027680626,1.175699877,0.928818974,0.015009679,NA
Rp3,3b,1.681994938,2.298751726,0.457575932,1.479440865,0.54106475,0.018887415,NA
HKU3-13,3b,3.259002531,1.455424528,1.085158767,1.933195275,0.671465522,0.024680312,NA
SARS-S WT,3b,88.90603428,89.15384837,56.92846871,78.32945045,10.70073,1,NA
WIV1,3b,75.85712149,82.38165555,89.7991774,82.67931815,4.027475762,1.055532979,NA
SARS-CoV-2,3d,198.452381,160.0865801,145.8354978,168.1248196,15.71192825,1.236487419,NA
WIV1,3d,146.495671,135.575758,141.183983,141.0851373,3.152694764,1.037621915,NA
SARS-S WT,3d,162.2575758,109.2705628,136.3809524,135.969697,15.29741519,1,NA
