cell,titration,genotype,conc_M,FITCpos,geomean_FITC,geomean_PE,bin1,bin2,bin3,bin4,mean_bin
1A1,1,NIH45-46,0,64.2,3087,76.9,99,0.91,0.08,0.016,1.011179329
1A2,1,NIH45-46,1.00E-13,63.5,3118,84.4,98.6,1.34,0.069,0,1.01477867
1A3,1,NIH45-46,6.81E-13,64.9,3120,141,96.6,3.24,0.12,0,1.034813926
1A4,1,NIH45-46,4.64E-12,61.7,3104,483,55.6,43.6,0.89,0,1.453391947
1A5,1,NIH45-46,3.16E-11,63.4,3190,2236,4.51,40.6,52.5,2.42,2.528141558
1A6,1,NIH45-46,2.15E-10,62.7,3055,9768,0.016,3.51,38.7,57.7,3.541981066
1A7,1,NIH45-46,1.47E-09,65.6,3034,26923,0.016,0.078,6.75,93.1,3.930421036
1A8,1,NIH45-46,0.00000001,64.2,2800,44977,0,0.048,0.71,98.8,3.991904217
1A9,1,NIH45-46,6.81E-08,63.6,2678,47431,0.016,0,0.53,99,3.994193639
1A10,1,NIH45-46,4.64E-07,64.4,2771,48768,0,0.032,0.55,99,3.993834227
1A11,1,NIH45-46,NA,63.3,3083,106,97.8,1.23,0.082,0.89,1.040639187
1A12,1,NIH45-46,NA,65.2,2929,79.5,98.4,1.39,0.14,0.048,1.018143992
1B1,2,G54hW,0,60.4,2419,77.7,99.1,0.84,0.051,0,1.009420848
1B2,2,G54hW,1.00E-13,59,2472,86.8,98.7,1.21,0.07,0,1.013502701
1B3,2,G54hW,6.81E-13,59.3,2463,177,93.9,6.11,0.035,0,1.061772203
1B4,2,G54hW,4.64E-12,58.2,2469,926,25.5,64.6,9.9,0.071,1.845529674
1B5,2,G54hW,3.16E-11,58.7,2255,3318,1.38,25.8,65,7.85,2.792962111
1B6,2,G54hW,2.15E-10,59.2,2123,11897,0.036,1.53,31.3,67.1,3.655202769
1B7,2,G54hW,1.47E-09,58,2035,24839,0.055,0.073,6.67,93.2,3.930188604
1B8,2,G54hW,0.00000001,58.1,2013,32599,0.036,0.091,2.39,97.4,3.973177738
1B9,2,G54hW,6.81E-08,58.1,2043,35254,0.018,0.018,1.76,98.1,3.98148074
1B10,2,G54hW,4.64E-07,59.3,2088,34991,0,0,1.82,98.1,3.981785428
1B11,2,G54hW,NA,62.1,2463,69.5,99.1,0.49,0.051,0.41,1.018210713
1B12,2,G54hW,NA,60.5,2431,60.2,99.3,0.63,0.017,0.052,1.008200082
1C1,3,P33hY,0,54,2197,84.7,99,0.91,0.019,0.039,1.010653409
1C2,3,P33hY,1.00E-13,55.3,2329,79.3,98.8,1.08,0.057,0.019,1.012515507
1C3,3,P33hY,6.81E-13,53.9,2311,110,98,1.89,0.039,0.019,1.020260535
1C4,3,P33hY,4.64E-12,54.5,2349,316,79,21,0.11,0.019,1.21249588
1C5,3,P33hY,3.16E-11,52.1,2250,1355,12.9,59.1,27.9,0.18,2.153477218
